buyer_name,company_name,email,website,country,source_platform,classification,status,created_at
Singing bowls wholesale | Order online | Phoenix,Singing bowls wholesale,,https://www.phoeniximport.com/en/collections/singing-bowls-and-more,DE,Google/Serper,PENDING,NEW,2026-08-24T10:20:09.102472+00:00
"Singing Bowls great choice, best prices.","Singing Bowls great choice, best prices.",mail@ongnamo-versand.de,https://www.ongnamo-versand.de/singing-bowls,DE,Google/Serper,BUSINESS,NEW,2026-08-24T10:20:09.102472+00:00
Tibetan Singing Bowls,Tibetan Singing Bowls,info@meinlshop.de,https://www.meinlshop.de/en/Meditation-Wellbeing/Singing-Bowls/Tibetan-Singing-Bowls/?srsltid=AfmBOorddHnBaxjHdPU3v-ZZe-qF3icOxApBn8-OEHHJemIMOv_Iu4Sm,DE,Google/Serper,BUSINESS,NEW,2026-08-24T10:20:09.102472+00:00
Wholesale Tibetan Singing Bowl 5 kg,Wholesale Tibetan Singing Bowl 5 kg,,https://www.amazon.de/-/en/Wholesale-Tibetan-Singing-Bowl/dp/B01MZ4WS41,DE,Google/Serper,PENDING,NEW,2026-08-24T10:20:09.102472+00:00
Tibetan Handmade Singing Bowls Wholesale,Tibetan Handmade Singing Bowls Wholesale,,https://www.facebook.com/TibetanHandmadeSingingBowls/,DE,Google/Serper,PENDING,NEW,2026-08-24T10:20:09.102472+00:00
The Singing Bowl Manufacturer & Exporter Since 1959 | The ...,The Singing Bowl Manufacturer & Exporter Since 1959,info@thesingingbowlcenter.com,https://singingbowlsexporters.com/,DE,Google/Serper,BUSINESS,NEW,2026-08-24T10:20:09.102472+00:00
Tibetan Singing Bowls and Accessories - Shanti,Tibetan Singing Bowls and Accessories,info@shanti.cz,https://www.shanti.eu/tibetan-singing-bowls-and-accessories/,DE,Google/Serper,BUSINESS,NEW,2026-08-24T10:20:09.102472+00:00
"Singing Bowl Manufacturer, Himalayan Tibetan Hand Made ...","Singing Bowl Manufacturer, Himalayan Tibetan Hand Made ...",,https://www.singingbowlsspecialist.com/,DE,Google/Serper,PENDING,NEW,2026-08-24T10:20:09.102472+00:00
"Buy singing bowls - effects, application, meditation",Buy singing bowls,,https://bodynova.de/en/singing-bowls/,DE,Google/Serper,PENDING,NEW,2026-08-24T10:20:09.102472+00:00
Wholesale lot of Tibetan Singing Bowls 5Kgs,Wholesale lot of Tibetan Singing Bowls 5Kgs,,https://www.amazon.com/Wholesale-Tibetan-Singing-Bowls-5Kgs/dp/B01MZ4WS41,US,Google/Serper,PENDING,NEW,2026-08-24T10:21:10.067685+00:00
Wholesale Singing Bowls:,Wholesale Singing Bowls,,https://newageincense.com/wholesale-singing-bowls,US,Google/Serper,PENDING,NEW,2026-08-24T10:21:10.067685+00:00
Soundtopia: Singing Bowls for Sale | Himalayan & Crystal ...,Soundtopia: Singing Bowls for Sale,info@soundtopia.com,https://www.soundtopia.com/?srsltid=AfmBOor9541JGFdA-Z8Mpzk5ooZK0MJTFXdHbjX-1zSY-LoGFtbRBzrn,US,Google/Serper,BUSINESS,NEW,2026-08-24T10:21:10.067685+00:00
Tibetan Singing Bowls Wholesale,Tibetan Singing Bowls Wholesale,,https://www.etsy.com/market/tibetan_singing_bowls_wholesale,US,Google/Serper,PENDING,NEW,2026-08-24T10:21:10.067685+00:00
Handmade Tibetan Singing Bowls-Wholesale-Manufacture ...,Handmade Tibetan Singing Bowls,,https://www.handmadesingingbowl.com/,US,Google/Serper,PENDING,NEW,2026-08-24T10:21:10.067685+00:00
Wholesale Tibetan Singing Bowls in USA -,Wholesale Tibetan Singing Bowls in USA,,https://www.indiancraftcentre.com/blog/wholesale-tibetan-singing-bowls-in-usa/?srsltid=AfmBOoqxmdTv5H4GF6owSEd7pBJJYiPUeF0JKZ_aGsPOSmtRrZ1OhP5H,US,Google/Serper,PENDING,NEW,2026-08-24T10:21:10.067685+00:00
"USA Singing Bowls Importers, Buyers and Distributors","USA Singing Bowls Importers, Buyers and Distributors",eg.sample@xyz.com,https://importer.tradekey.com/us/singing-bowls.htm,US,Google/Serper,PENDING,NEW,2026-08-24T10:21:10.067685+00:00
Gopali Authentic Tibetan Singing Bowls & Sound Healing in St ...,Gopali Authentic Tibetan Singing Bowls & Sound Healing in St,gopaliimports@gmail.com,https://gopaliimports.com/,US,Google/Serper,PENDING,NEW,2026-08-24T10:32:31.818923+00:00
